     DEBUG |  139 | Processor       | [PROCESSOR] HASH doc=LINUX-SYSTEMD-JOURNALCTL.md body=0fba35780249f5945e50ce6592321a092e5097d431e724c0d139a3955581bd6561b16d74275f654f4ea37556f8a5a78a3cf25e59287cb6a07e14aded2f83b97e meta=f421acc0242e1003614f2e4ca3b9824130ee995c2ebf0ca28a9f90d6f1587647ed395aa201f97700c17d55335827ceca15947f4fab3a359e37afd2f6330c71cd
     DEBUG |  230 | Backend         | [BACKEND] ADD_TARGET doc=LINUX-SYSTEMD-JOURNALCTL.md resource=LINUX-SYSTEMD-JOURNALCTL.html
     DEBUG |   85 | Processor       | [PROCESSOR] DOC_VALID doc=HELLO-WORLD.md valid=True reason=Success
     DEBUG |   69 | Database        | [DATABASE] DOC_ADD doc=HELLO-WORLD.md
     DEBUG |   80 | Database        | [DATABASE] KV_ADD doc=HELLO-WORLD.md key=Title value=Hello world
     DEBUG |   80 | Database        | [DATABASE] KV_ADD doc=HELLO-WORLD.md key=Author value=Tomás Vírseda
     DEBUG |   80 | Database        | [DATABASE] KV_ADD doc=HELLO-WORLD.md key=Category value=Note
     DEBUG |   80 | Database        | [DATABASE] KV_ADD doc=HELLO-WORLD.md key=Date value=2026-05-20 00:00:00
     DEBUG |   80 | Database        | [DATABASE] KV_ADD doc=HELLO-WORLD.md key=DocType value=Explanation
     DEBUG |   80 | Database        | [DATABASE] KV_ADD doc=HELLO-WORLD.md key=Product value=KB4IT
     DEBUG |   80 | Database        | [DATABASE] KV_ADD doc=HELLO-WORLD.md key=Tag value=github-pages
     DEBUG |  139 | Processor       | [PROCESSOR] HASH doc=HELLO-WORLD.md body=7391b989d7b7b3be236e467f2ff85b9397f1ed11c6989a88e06c07448157086de564a6a6357fd2e8db38bebb1431b8997707189a2d2ac4c30da2aad4788bc267 meta=2fb496bacaacd27d6f00645c61a0934927e8a5cd32d1f73396719b68196b00ca42eb9df264a318d4ea5e128f90e947befed468bf1e8397200c94111d6bdc28b9
     DEBUG |  230 | Backend         | [BACKEND] ADD_TARGET doc=HELLO-WORLD.md resource=HELLO-WORLD.html
     DEBUG |   85 | Processor       | [PROCESSOR] DOC_VALID doc=about_app.md valid=True reason=Success
     DEBUG |   69 | Database        | [DATABASE] DOC_ADD doc=about_app.md
     DEBUG |   80 | Database        | [DATABASE] KV_ADD doc=about_app.md key=Title value=About this app
     DEBUG |   80 | Database        | [DATABASE] KV_ADD doc=about_app.md key=SystemPage value=True
     DEBUG |  139 | Processor       | [PROCESSOR] HASH doc=about_app.md body=c8fc649fec6d1284b8dcaa7ebcbcfc0d04207d67571a93f201d333bc3615d4efddecf09414e22b0e89a7a7dcdf584153e07b6af56acd5f6f0befab0afc5e8f32 meta=856ce8ddde31adb8cb51239511c88910b79e307bfdadc34e802ddd688c8f2d11d41b9a1635f22618384af5305fcda1ec8c6b961cf658ea12c32629654012a343
     DEBUG |  230 | Backend         | [BACKEND] ADD_TARGET doc=about_app.md resource=about_app.html
     DEBUG |   85 | Processor       | [PROCESSOR] DOC_VALID doc=about_kb4it.md valid=True reason=Success
     DEBUG |   69 | Database        | [DATABASE] DOC_ADD doc=about_kb4it.md
     DEBUG |   80 | Database        | [DATABASE] KV_ADD doc=about_kb4it.md key=Title value=About KB4IT
     DEBUG |   80 | Database        | [DATABASE] KV_ADD doc=about_kb4it.md key=SystemPage value=True
